Model,R2,RMSE,MAE
Linear Regression,0.8879278917427228,1.606750298623787,1.042483366617431
Ridge Regression,0.8851106208612559,1.6268202124494922,1.0648294470745294
Random Forest,0.9652159664340987,0.8951371655584036,0.589465573770491
Gradient Boosting,0.965572117442452,0.8905427550146167,0.5655675720503314
